Coord.,Distance (m),Num_brick_wall,Num_wood_wall,Num_glass_wall,Num_drywall,Num_column,Elevator,P_rx (dBm),Comments
B-14,16.4843,0,0,0,1,1,0,-79,
C-14,15.1494,0,0,0,1,1,0,-86,
H-14,8.5698,0,0,0,1,0,0,-60,
I-14,7.2969,0,0,0,1,0,0,-57,
J-14,6.0597,0,0,0,1,0,0,-63,Receiver reference at  -30 dBm
L-14,3.8325,0,0,0,1,0,0,-55,Receiver reference at  -30 dBm
M-14,3.0299,0,0,0,1,0,0,-62,Receiver reference at  -30 dBm
N-14,2.7100,0,0,1,0,0,0,-49,Receiver reference at  -30 dBm
O-14,3.0299,0,0,1,0,0,0,-53,Receiver reference at  -30 dBm
P-14,3.8325,0,0,0,1,0,0,-70,Receiver reference at  -30 dBm
Q-14,4.8855,0,0,0,1,0,0,-61,Receiver reference at  -30 dBm
R-14,6.0597,0,0,1,1,0,0,-63,Receiver reference at  -30 dBm
S-14,7.2969,0,0,1,2,0,0,-63,
T-14,8.5698,0,0,0,3,0,0,-61,
U-14,9.8645,0,0,0,3,0,0,-69,
V-14,11.1736,0,0,0,3,0,0,-70,
W-14,12.4925,0,0,0,3,0,0,-66,
A-15,17.6670,0,0,0,1,0,0,-66,
B-15,16.3164,0,0,0,1,0,0,-68,Receiver reference at  -30 dBm
C-15,14.9665,0,0,0,1,0,0,-63,Receiver reference at  -30 dBm
E-15,12.2700,0,0,0,1,0,0,-66,Receiver reference at  -30 dBm
F-15,10.9244,0,0,0,1,0,0,-69,Receiver reference at  -30 dBm
G-15,9.5813,0,0,0,1,0,0,-69,Receiver reference at  -30 dBm
H-15,8.2421,0,0,0,1,0,0,-68,Receiver reference at  -30 dBm
I-15,6.9092,0,0,0,1,0,0,-69,Receiver reference at  -30 dBm
J-15,5.5868,0,0,0,1,0,0,-74,Receiver reference at  -30 dBm
K-15,4.2849,0,0,0,1,0,0,-51,Receiver reference at  -30 dBm
L-15,3.0299,0,0,0,1,0,0,-55,Receiver reference at  -30 dBm
M-15,1.9163,0,0,0,1,0,0,-62,Receiver reference at  -30 dBm
N-15,1.3550,0,0,1,0,0,0,-49,Receiver reference at  -30 dBm
O-15,1.9163,0,0,0,0,0,0,-44,Receiver reference at  -30 dBm
P-15,3.0299,0,0,0,1,0,0,-51,Receiver reference at  -30 dBm
Q-15,4.2849,0,0,0,1,0,0,-53,Receiver reference at  -30 dBm
S-15,6.9092,0,0,0,2,0,0,-58,Receiver reference at  -30 dBm
T-15,8.2421,0,0,0,2,0,0,-55,Receiver reference at  -30 dBm
U-15,9.5813,0,0,0,2,0,0,-55,
V-15,10.9244,0,0,0,2,0,0,-58,
W-15,12.2700,0,0,0,2,0,0,-59,
B-16,16.2600,1,0,0,1,0,0,-70,
C-16,14.9050,1,0,0,1,0,0,-65,
D-16,13.5500,1,0,0,1,0,0,-69,
E-16,12.1950,1,0,0,1,0,0,-63,
F-16,10.8400,1,0,0,1,0,0,-77,
G-16,9.4850,1,0,0,1,0,0,-70,
I-16,6.7750,1,0,0,1,0,0,-70,
L-16,2.7100,0,0,0,1,0,0,-57,Receiver reference at  -30 dBm
O-16,1.3550,0,0,0,0,0,0,-43,Receiver reference at  -30 dBm
P-16,2.7100,0,0,0,1,0,0,-48,Receiver reference at  -30 dBm
Q-16,4.0650,0,0,0,1,0,0,-55,Receiver reference at  -30 dBm
R-16,5.4200,0,0,0,2,0,0,-63,
S-16,6.7750,0,0,0,2,0,0,-56,
T-16,8.1300,0,0,0,3,0,0,-59,Receiver reference at  -30 dBm
U-16,9.4850,0,0,0,3,0,0,-60,Receiver reference at  -30 dBm
V-16,10.8400,0,0,0,3,0,0,-64,
W-16,12.1950,0,0,0,3,0,0,-63,
M-17,1.9163,0,0,0,1,0,0,-48,Receiver reference at  -30 dBm
N-17,1.3550,0,0,0,0,0,0,-50,Receiver reference at  -30 dBm
O-17,1.9163,0,0,0,0,0,0,-47,Receiver reference at  -30 dBm
P-17,3.0299,0,0,0,1,0,0,-57,Receiver reference at  -30 dBm
Q-17,4.2849,0,0,0,1,0,0,-52,Receiver reference at  -30 dBm
R-17,5.5868,0,0,0,1,0,0,-56,Receiver reference at  -30 dBm
S-17,6.9092,0,0,0,2,0,0,-60,Receiver reference at  -30 dBm
T-17,8.2421,0,0,1,2,0,0,-63,
U-17,9.5813,0,0,1,2,0,0,-64,
V-17,10.9244,0,0,1,2,0,0,-68,
X-17,13.6176,0,0,1,3,0,0,-62,
M-18,3.0299,0,0,0,1,0,0,-57,Receiver reference at  -30 dBm
N-18,2.7100,0,0,0,0,0,0,-44,Receiver reference at  -30 dBm
O-18,3.0299,0,0,0,0,0,0,-50,Receiver reference at  -30 dBm
P-18,3.8325,0,0,0,0,0,0,-54,Receiver reference at  -30 dBm
Q-18,4.8855,0,0,0,1,0,0,-56,Receiver reference at  -30 dBm
R-18,6.0597,0,0,0,1,0,0,-59,
S-18,7.2969,0,0,0,1,0,0,-56,
T-18,8.5698,0,1,0,1,0,0,-66,
U-18,9.8645,0,0,0,4,0,0,-76,
V-18,11.1736,0,0,0,4,0,0,-67,
W-18,12.4925,0,0,0,4,0,0,-69,
X-18,13.8183,0,0,0,4,0,0,-59,
Y-18,15.1494,0,0,0,4,0,0,-64,
M-19,4.2849,0,0,0,1,0,0,-66,Receiver reference at  -30 dBm
N-19,4.0650,0,0,0,1,0,0,-50,Receiver reference at  -30 dBm
O-19,4.2849,0,0,0,0,0,0,-45,Receiver reference at  -30 dBm
P-19,4.8855,0,0,0,0,0,0,-58,Receiver reference at  -30 dBm
Q-19,5.7488,0,0,0,2,0,0,-69,Receiver reference at  -30 dBm
R-19,6.7750,0,0,0,2,0,0,-65,
S-19,7.9009,0,0,0,2,0,0,-61,
T-19,9.0896,0,0,0,2,0,0,-63,
U-19,10.3194,0,0,0,2,0,0,-64,
V-19,11.5771,0,1,0,1,0,0,-61,
W-19,12.8547,0,1,0,1,0,0,-63,
X-19,14.1466,0,1,0,2,0,0,-70,
Y-19,15.4494,0,1,0,2,0,0,-64,
N-20,5.4200,0,0,0,1,0,0,-58,Receiver reference at  -30 dBm
O-20,5.5868,0,0,0,1,0,0,-55,Receiver reference at  -30 dBm
Q-20,6.7750,0,0,1,0,0,0,-56,
R-20,7.6650,0,0,1,1,0,0,-66,
S-20,8.6762,0,0,0,3,0,0,-60,
T-20,9.7710,0,0,0,2,0,0,-72,
U-20,10.9244,0,0,0,3,0,0,-65,
V-20,12.1195,0,0,0,3,0,0,-63,
W-20,13.3452,0,0,0,2,0,0,-62,
X-20,14.5938,0,0,0,2,0,0,-68,
N-21,6.7750,0,0,0,1,0,0,-60,Receiver reference at  -30 dBm
O-21,6.9092,0,0,0,1,0,0,-55,Receiver reference at  -30 dBm
P-21,7.2969,0,0,0,3,0,0,-62,
Q-21,7.9009,0,0,0,1,1,0,-70,
R-21,8.6762,0,0,1,0,0,0,-68,
S-21,9.5813,0,0,1,0,0,0,-59,
V-21,12.7830,0,0,0,3,0,0,-69,
M-22,8.2421,1,1,0,1,0,0,-66,
O-22,8.2421,0,0,0,1,0,0,-59,Receiver reference at  -30 dBm
P-22,8.5698,0,0,0,3,0,0,-62,
Q-22,9.0896,0,0,0,3,0,0,-62,
R-22,9.7710,0,0,1,0,0,0,-60,
S-22,10.5829,0,0,1,0,0,0,-57,
L-23,9.8645,1,1,0,1,0,0,-73,
M-23,9.5813,2,0,0,1,0,0,-70,
N-23,9.4850,0,0,0,1,0,0,-74,
