Coord.,Distance (m),Num_brick_wall,Num_wood_wall,Num_glass_wall,Num_drywall,Num_column,P_rx (dBm),Comments
O-21,12.86375626,2,0,0,0,0,-78,
P-21,13.65562979,2,0,0,0,0,-86,
B-22,7.712083052,2,0,0,0,0,-73,
C-22,7.380801108,2,0,0,0,0,-76,
D-22,7.174693373,2,0,0,0,0,-82,
E-22,7.104662202,2,0,0,0,0,-72,
F-22,7.174693373,2,0,0,0,0,-73,
G-22,7.380801108,2,0,0,0,0,-82,
H-22,7.712083052,1,0,0,0,0,-75,
I-22,8.153295346,2,0,0,0,0,-80,
J-22,8.687705393,1,1,0,0,0,-70,
K-22,9.299259379,1,1,0,0,0,-77,
L-22,9.973776867,2,0,0,0,0,-78,
M-22,10.69935629,2,0,0,0,0,-80,
N-22,11.46630826,2,0,0,0,0,-79,
O-22,12.26687511,3,0,0,0,0,-85,
P-22,13.09489309,3,0,0,0,0,-86,
A-23,7.312744013,1,0,0,0,0,-90,
C-23,6.440203801,1,0,0,0,0,-74,
D-23,6.202920683,1,0,0,0,0,-73,
E-23,6.121782829,1,0,0,0,0,-70,
F-23,6.202920683,2,0,0,0,0,-84,
G-23,6.440203801,1,0,0,0,0,-70,
H-23,6.817347358,1,0,0,0,0,-70,
I-23,7.312744013,1,1,0,0,0,-71,
J-23,7.904190344,1,1,0,0,0,-70,
K-23,8.571827401,2,0,0,0,0,-80,
L-23,9.299259379,2,0,0,0,0,-79,
M-23,10.07354084,2,0,0,0,0,-78,
N-23,10.88467845,3,0,0,0,0,-82,
O-23,11.72502559,3,0,0,0,0,-75,
P-23,12.58873405,3,0,0,0,0,-81,
A-24,6.517378691,1,0,0,0,0,-81,
C-24,5.520527602,1,0,0,0,0,-75,
E-24,5.14550532,1,0,0,0,0,-61,
F-24,5.241776893,2,0,0,0,0,-69,
G-24,5.520527602,1,0,0,0,0,-66,
H-24,5.956192156,1,0,0,0,0,-67,
J-24,7.174693373,2,0,0,0,0,-77,
K-24,7.904190344,2,0,0,0,0,-82,
L-24,8.687705393,2,0,0,0,0,-72,
M-24,9.511899127,3,0,0,0,0,-79,
N-24,10.36707408,3,0,0,0,0,-70,
O-24,11.2461649,3,0,0,0,0,-85,
P-24,12.14397896,3,0,0,0,0,-77,
A-25,5.78586424,1,0,0,0,0,-72,
B-25,5.14550532,1,0,0,0,0,-74,
C-25,4.634244814,1,0,0,0,0,-76,
E-25,4.180457511,1,0,0,0,0,-68,
F-25,4.298397957,2,0,0,0,0,-65,
G-25,4.634244814,1,0,0,0,0,-66,
H-25,5.14550532,1,0,0,0,0,-73,
J-25,6.517378691,2,0,0,0,0,-87,
K-25,7.312744013,3,0,0,0,0,-69,
L-25,8.153295346,3,0,0,0,0,-83,
M-25,9.026418171,3,0,0,0,0,-77,
N-25,9.923518781,2,0,0,0,0,-84,
O-25,10.83864498,2,0,0,0,0,-73,
P-25,11.76759215,2,0,0,0,0,-80,
F-26,3.387657745,1,0,0,0,0,-67,
G-26,3.804763462,1,0,0,0,0,-65,
H-26,4.413187623,1,0,0,0,0,-69,
O-26,10.5107671,2,1,0,0,0,-73,
P-26,11.46630826,2,1,0,0,0,-80,
A-27,4.634244814,0,0,0,0,0,-64,Receiver reference at  -30 dBm
B-27,3.804763462,0,0,0,0,0,-66,Receiver reference at  -30 dBm
C-27,3.078347771,0,0,0,0,0,-56,Receiver reference at  -30 dBm
D-27,2.544842824,0,0,0,0,0,-62,Receiver reference at  -30 dBm
E-27,2.340133543,0,0,0,0,0,-61,Receiver reference at  -30 dBm
F-27,2.544842824,1,0,0,0,0,-64,
G-27,3.078347771,1,0,0,0,0,-66,
H-27,3.804763462,1,0,0,0,0,-64,
I-27,4.634244814,2,0,0,0,0,-67,
J-27,5.520527602,1,1,0,0,0,-74,
L-27,7.380801108,1,1,0,0,0,-70,
M-27,8.335239949,0,1,0,0,0,-76,
A-28,4.298397957,0,0,0,0,0,-55,Receiver reference at  -30 dBm
B-28,3.387657745,0,0,0,0,0,-63,Receiver reference at  -30 dBm
C-28,2.544842824,0,0,0,0,0,-64,Receiver reference at  -30 dBm
D-28,1.86446373,0,0,0,0,0,-55,Receiver reference at  -30 dBm
E-28,1.573602555,0,0,0,0,0,-66,Receiver reference at  -30 dBm
F-28,1.86446373,1,0,0,0,0,-67,
G-28,2.544842824,1,0,0,0,0,-62,
H-28,3.387657745,0,1,0,0,0,-64,
J-28,5.241776893,1,0,0,0,0,-66,
K-28,6.202920683,1,0,0,0,0,-59,
L-28,7.174693373,1,0,0,0,0,-59,
M-28,8.153295346,1,0,0,0,0,-67,
B-29,3.236699708,0,0,0,0,0,-62,Receiver reference at  -30 dBm
C-29,2.340133543,0,0,0,0,0,-67,Receiver reference at  -30 dBm
D-29,1.573602555,0,0,0,0,0,-54,Receiver reference at  -30 dBm
F-29,1.573602555,0,1,0,0,0,-61,
G-29,2.340133543,0,1,0,0,0,-58,
H-29,3.236699708,0,1,0,0,0,-74,
I-29,4.180457511,1,1,0,0,0,-74,
J-29,5.14550532,1,1,0,0,0,-71,
K-29,6.121782829,1,1,0,0,0,-71,
L-29,7.104662202,1,1,0,0,0,-72,
M-29,8.09173807,1,1,0,0,0,-64,
C-30,2.544842824,1,0,0,0,0,-60,Receiver reference at  -30 dBm
D-30,1.86446373,1,0,0,0,0,-71,Receiver reference at  -30 dBm
E-30,1.573602555,1,0,0,0,0,-56,Receiver reference at  -30 dBm
F-30,1.86446373,2,0,0,0,0,-59,
G-30,2.544842824,0,1,0,0,0,-74,
H-30,3.387657745,0,1,0,0,0,-62,
A-31,4.634244814,1,0,0,0,0,-63,Receiver reference at  -30 dBm
B-31,3.804763462,1,0,0,0,0,-66,Receiver reference at  -30 dBm
C-31,3.078347771,1,0,0,0,0,-63,Receiver reference at  -30 dBm
D-31,2.544842824,1,0,0,0,0,-73,Receiver reference at  -30 dBm
E-31,2.340133543,1,0,0,0,0,-78,Receiver reference at  -30 dBm
F-31,2.544842824,2,0,0,0,0,-65,
G-31,3.078347771,2,0,0,0,0,-64,
