Coord.,Distance (m),Num_brick_wall,Num_wood_wall,Num_glass_wall,Num_drywall,Num_column,PL (dB),Comments
G-22,7.280109889,2,0,0,0,0,79,
H-22,7.615773106,1,0,0,0,0,75,
I-22,8.062257748,2,0,0,0,0,88,
J-22,8.602325267,1,1,0,0,0,78,
K-22,9.219544457,1,1,0,0,0,91,
L-22,9.899494937,2,0,0,0,0,79,
M-22,10.63014581,2,0,0,0,0,98,
N-22,11.40175425,2,0,0,0,0,87,
O-22,12.20655562,3,0,0,0,0,90,
A-23,7.211102551,1,0,0,0,0,73,
B-23,6.708203932,1,0,0,0,0,68,
C-23,6.32455532,1,0,0,0,0,80,
D-23,6.08276253,1,0,0,0,0,74,
E-23,6,1,0,0,0,0,77,
F-23,6.08276253,2,0,0,0,0,79,
G-23,6.32455532,1,0,0,0,0,68,
H-23,6.708203932,1,0,0,0,0,78,
I-23,7.211102551,1,1,0,0,0,82,
J-23,7.810249676,1,1,0,0,0,94,
K-23,8.485281374,2,0,0,0,0,90,
L-23,9.219544457,2,0,0,0,0,85,
M-23,10,2,0,0,0,0,98,
N-23,10.81665383,3,0,0,0,0,89,
O-23,11.66190379,3,0,0,0,0,96,
P-23,12.52996409,3,0,0,0,0,91,
A-24,6.403124237,1,0,0,0,0,87,
B-24,5.830951895,1,0,0,0,0,80,
C-24,5.385164807,1,0,0,0,0,72,
D-24,5.099019514,1,0,0,0,0,84,
E-24,5,1,0,0,0,0,67,
F-24,5.099019514,2,0,0,0,0,78,
G-24,5.385164807,1,0,0,0,0,76,
H-24,5.830951895,1,0,0,0,0,71,
I-24,6.403124237,1,1,0,0,0,80,
J-24,7.071067812,2,0,0,0,0,77,
K-24,7.810249676,2,0,0,0,0,88,
L-24,8.602325267,2,0,0,0,0,90,
M-24,9.433981132,3,0,0,0,0,98,
N-24,10.29563014,3,0,0,0,0,90,
O-24,11.18033989,3,0,0,0,0,90,
P-24,12.08304597,3,0,0,0,0,96,
A-25,5.656854249,1,0,0,0,0,76,
B-25,5,1,0,0,0,0,76,
C-25,4.472135955,1,0,0,0,0,70,
D-25,4.123105626,1,0,0,0,0,75,
E-25,4,1,0,0,0,0,75,
F-25,4.123105626,2,0,0,0,0,76,
