Coord.,Distance (m),Num_brick_wall,Num_wood_wall,Num_glass_wall,Num_drywall,Num_column,Elevator,PL (dB),Comments
H-14,8.5698,0,0,0,1,0,0,70,
I-14,7.2969,0,0,0,1,0,0,67,
J-14,6.0597,0,0,0,1,0,0,73,Receiver reference at  -30 dBm
L-14,3.8325,0,0,0,1,0,0,65,Receiver reference at  -30 dBm
M-14,3.0299,0,0,0,1,0,0,72,Receiver reference at  -30 dBm
N-14,2.7100,0,0,1,0,0,0,59,Receiver reference at  -30 dBm
O-14,3.0299,0,0,1,0,0,0,63,Receiver reference at  -30 dBm
P-14,3.8325,0,0,0,1,0,0,80,Receiver reference at  -30 dBm
Q-14,4.8855,0,0,0,1,0,0,71,Receiver reference at  -30 dBm
R-14,6.0597,0,0,1,1,0,0,73,Receiver reference at  -30 dBm
S-14,7.2969,0,0,1,2,0,0,73,
T-14,8.5698,0,0,0,3,0,0,71,
U-14,9.8645,0,0,0,3,0,0,79,
V-14,11.1736,0,0,0,3,0,0,80,
W-14,12.4925,0,0,0,3,0,0,76,
A-15,17.6670,0,0,0,1,0,0,76,
B-15,16.3164,0,0,0,1,0,0,78,Receiver reference at  -30 dBm
C-15,14.9665,0,0,0,1,0,0,73,Receiver reference at  -30 dBm
E-15,12.2700,0,0,0,1,0,0,76,Receiver reference at  -30 dBm
F-15,10.9244,0,0,0,1,0,0,79,Receiver reference at  -30 dBm
G-15,9.5813,0,0,0,1,0,0,79,Receiver reference at  -30 dBm
H-15,8.2421,0,0,0,1,0,0,78,Receiver reference at  -30 dBm
I-15,6.9092,0,0,0,1,0,0,79,Receiver reference at  -30 dBm
J-15,5.5868,0,0,0,1,0,0,84,Receiver reference at  -30 dBm
K-15,4.2849,0,0,0,1,0,0,61,Receiver reference at  -30 dBm
L-15,3.0299,0,0,0,1,0,0,65,Receiver reference at  -30 dBm
M-15,1.9163,0,0,0,1,0,0,72,Receiver reference at  -30 dBm
N-15,1.3550,0,0,1,0,0,0,59,Receiver reference at  -30 dBm
O-15,1.9163,0,0,0,0,0,0,54,Receiver reference at  -30 dBm
P-15,3.0299,0,0,0,1,0,0,61,Receiver reference at  -30 dBm
Q-15,4.2849,0,0,0,1,0,0,63,Receiver reference at  -30 dBm
S-15,6.9092,0,0,0,2,0,0,68,Receiver reference at  -30 dBm
T-15,8.2421,0,0,0,2,0,0,65,Receiver reference at  -30 dBm
U-15,9.5813,0,0,0,2,0,0,65,
V-15,10.9244,0,0,0,2,0,0,68,
