Coord.,Distance,Num_brick_wall,Num_wood_wall,Num_glass_wall,Num_drywall,Num_column,P_rx (dBm),Comments
I-14,15.5241747,3,1,0,0,0,-87,
J-14,15.8113883,3,0,0,0,0,-87,
K-14,16.15549442,,,,0,0,NP,
L-14,16.55294536,3,0,0,0,0,-89,
M-14,17,,,,0,0,NP,
N-14,17.49285568,,,,0,0,NP,
O-14,18.02775638,,,,0,0,NP,
P-14,18.60107524,,,,0,0,NP,
A-15,14.56021978,3,1,0,0,0,-80,
B-15,14.31782106,3,1,0,0,0,-89,
C-15,14.14213562,3,1,0,0,0,-86,
D-15,14.03566885,3,1,0,0,0,-85,
E-15,14,3,1,0,0,0,-88,
F-15,14.03566885,3,0,0,0,0,-74,
G-15,14.14213562,2,0,0,0,0,-77,
H-15,14.31782106,2,0,0,0,0,-76,
I-15,14.56021978,3,0,0,0,0,-100,
J-15,14.86606875,3,0,0,0,0,-99,
K-15,15.23154621,,,,0,0,NP,
L-15,15.65247584,3,0,0,0,0,-84,
M-15,16.1245155,,,,0,0,NP,
N-15,16.64331698,,,,0,0,NP,
O-15,17.20465053,,,,0,0,NP,
P-15,17.80449381,,,,0,0,NP,
A-16,13.60147051,3,1,0,0,0,-83,
B-16,13.34166406,3,1,0,0,0,-81,
C-16,13.15294644,3,1,0,0,0,-81,
D-16,13.03840481,3,1,0,0,0,-83,
E-16,13,3,1,0,0,0,-78,
F-16,13.03840481,3,0,0,0,0,-74,
G-16,13.15294644,2,0,0,0,0,-79,
H-16,13.34166406,2,0,0,0,0,-76,
I-16,13.60147051,3,0,0,0,0,-78,
J-16,13.92838828,3,0,0,0,0,-82,
K-16,14.31782106,,,,0,0,NP,
L-16,14.76482306,,,,0,0,NP,
M-16,15.26433752,,,,0,0,NP,
N-16,15.8113883,,,,0,0,NP,
O-16,16.40121947,,,,0,0,NP,
P-16,17.02938637,,,,0,0,NP,
A-17,12.64911064,3,1,0,0,0,-82,
B-17,12.36931688,3,1,0,0,0,-81,
C-17,12.16552506,3,1,0,0,0,-85,
D-17,12.04159458,3,1,0,0,0,-82,
E-17,12,3,1,0,0,0,-83,
F-17,12.04159458,3,0,0,0,0,-77,
G-17,12.16552506,2,0,0,0,0,-82,
H-17,12.36931688,2,0,0,0,0,-75,
I-17,12.64911064,2,0,0,0,0,-94,
J-17,13,2,0,0,0,0,-82,
K-17,13.41640786,2,0,0,0,0,-78,
L-17,13.89244399,,,,0,0,NP,
M-17,14.4222051,1,1,0,0,0,-75,
N-17,15,1,1,0,0,0,-87,
O-17,15.62049935,1,1,0,0,0,-76,
P-17,16.2788206,2,0,0,0,0,-72,
A-18,11.70469991,3,1,0,0,0,-80,
B-18,11.40175425,3,1,0,0,0,-84,
C-18,11.18033989,3,1,0,0,0,-79,
D-18,11.04536102,3,1,0,0,0,-83,
E-18,11,3,1,0,0,0,-86,
F-18,11.04536102,3,0,0,0,0,-80,
G-18,11.18033989,2,0,0,0,0,-68,
H-18,11.40175425,2,0,0,0,0,-76,
I-18,11.70469991,2,0,0,0,0,-83,
J-18,12.08304597,2,0,0,0,0,-81,
K-18,12.52996409,2,0,0,0,0,-89,
L-18,13.03840481,1,1,0,0,0,-78,
M-18,13.60147051,1,1,0,0,0,-75,
N-18,14.2126704,1,1,0,0,0,-80,
O-18,14.86606875,1,1,0,0,0,-84,
P-18,15.55634919,,,,0,0,NP,
A-19,10.77032961,,,,0,0,NP,
B-19,10.44030651,,,,0,0,NP,
C-19,10.19803903,2,0,0,0,0,-75,
D-19,10.04987562,2,0,0,0,0,-78,
E-19,10,2,0,0,0,0,-72,
F-19,10.04987562,2,0,0,0,0,-70,
G-19,10.19803903,2,0,0,0,0,-79,
H-19,10.44030651,1,0,0,0,0,-68,
I-19,10.77032961,2,0,0,0,0,-89,
J-19,11.18033989,2,0,0,0,0,-80,
K-19,11.66190379,2,0,0,0,0,-78,
L-19,12.20655562,1,1,0,0,0,-74,
M-19,12.80624847,1,1,0,0,0,-87,
N-19,13.45362405,1,0,0,0,0,-82,
O-19,14.14213562,2,0,0,0,0,-78,
P-19,14.86606875,,,,0,0,NP,
A-20,9.848857802,2,0,0,0,0,-77,
B-20,9.486832981,2,0,0,0,0,-83,
C-20,9.219544457,2,0,0,0,0,-78,
D-20,9.055385138,2,0,0,0,0,-79,
E-20,9,2,0,0,0,0,-88,
F-20,9.055385138,1,1,0,0,0,-75,
G-20,9.219544457,2,0,0,0,0,-72,
H-20,9.486832981,1,0,0,0,0,-73,
I-20,9.848857802,2,0,0,0,0,-82,
J-20,10.29563014,2,0,0,0,0,-86,
K-20,10.81665383,1,1,0,0,0,-78,
L-20,11.40175425,1,1,0,0,0,-74,
M-20,12.04159458,1,1,0,0,0,-77,
N-20,12.72792206,2,0,0,0,0,-87,
O-20,13.45362405,2,0,0,0,0,-84,
P-20,14.2126704,,,,0,0,NP,
A-21,8.94427191,2,0,0,0,0,-73,
B-21,8.544003745,2,0,0,0,0,-74,
C-21,8.246211251,2,0,0,0,0,-73,
D-21,8.062257748,2,0,0,0,0,-88,
E-21,8,2,0,0,0,0,-79,
F-21,8.062257748,2,0,0,0,0,-64,
G-21,8.246211251,2,0,0,0,0,-67,
H-21,8.544003745,1,0,0,0,0,-70,
I-21,8.94427191,2,0,0,0,0,-77,
J-21,9.433981132,1,1,0,0,0,-71,
K-21,10,1,1,0,0,0,-66,
L-21,10.63014581,1,1,0,0,0,-85,
M-21,11.3137085,2,0,0,0,0,-73,
N-21,12.04159458,2,0,0,0,0,-88,
O-21,12.80624847,2,0,0,0,0,-84,
P-21,13.60147051,,,,0,0,NP,
A-22,8.062257748,,,,0,0,NP,
B-22,7.615773106,2,0,0,0,0,-82,
C-22,7.280109889,2,0,0,0,0,-77,
D-22,7.071067812,2,0,0,0,0,-73,
E-22,7,2,0,0,0,0,-77,
F-22,7.071067812,2,0,0,0,0,-67,
G-22,7.280109889,2,0,0,0,0,-69,
H-22,7.615773106,1,0,0,0,0,-65,
I-22,8.062257748,2,0,0,0,0,-78,
J-22,8.602325267,1,1,0,0,0,-68,
K-22,9.219544457,1,1,0,0,0,-81,
L-22,9.899494937,2,0,0,0,0,-69,
M-22,10.63014581,2,0,0,0,0,-88,
N-22,11.40175425,2,0,0,0,0,-77,
O-22,12.20655562,3,0,0,0,0,-80,
P-22,13.03840481,3,0,0,0,0,NP,
A-23,7.211102551,1,0,0,0,0,-63,
B-23,6.708203932,1,0,0,0,0,-58,
C-23,6.32455532,1,0,0,0,0,-70,
D-23,6.08276253,1,0,0,0,0,-64,
E-23,6,1,0,0,0,0,-67,
F-23,6.08276253,2,0,0,0,0,-69,
G-23,6.32455532,1,0,0,0,0,-58,
H-23,6.708203932,1,0,0,0,0,-68,
I-23,7.211102551,1,1,0,0,0,-72,
J-23,7.810249676,1,1,0,0,0,-84,
K-23,8.485281374,2,0,0,0,0,-80,
L-23,9.219544457,2,0,0,0,0,-75,
M-23,10,2,0,0,0,0,-88,
N-23,10.81665383,3,0,0,0,0,-79,
O-23,11.66190379,3,0,0,0,0,-86,
P-23,12.52996409,3,0,0,0,0,-81,
A-24,6.403124237,1,0,0,0,0,-77,
B-24,5.830951895,1,0,0,0,0,-70,
C-24,5.385164807,1,0,0,0,0,-62,
D-24,5.099019514,1,0,0,0,0,-74,
E-24,5,1,0,0,0,0,-57,
F-24,5.099019514,2,0,0,0,0,-68,
G-24,5.385164807,1,0,0,0,0,-66,
H-24,5.830951895,1,0,0,0,0,-61,
I-24,6.403124237,1,1,0,0,0,-70,
J-24,7.071067812,2,0,0,0,0,-67,
K-24,7.810249676,2,0,0,0,0,-78,
L-24,8.602325267,2,0,0,0,0,-80,
M-24,9.433981132,3,0,0,0,0,-88,
N-24,10.29563014,3,0,0,0,0,-80,
O-24,11.18033989,3,0,0,0,0,-80,
P-24,12.08304597,3,0,0,0,0,-86,
A-25,5.656854249,1,0,0,0,0,-66,
B-25,5,1,0,0,0,0,-66,
C-25,4.472135955,1,0,0,0,0,-60,
D-25,4.123105626,1,0,0,0,0,-65,
E-25,4,1,0,0,0,0,-65,
F-25,4.123105626,2,0,0,0,0,-66,
G-25,4.472135955,1,0,0,0,0,-71,
H-25,5,1,0,0,0,0,-70,
I-25,5.656854249,,,,0,0,NP,
J-25,6.403124237,2,0,0,0,0,-70,
K-25,7.211102551,3,0,0,0,0,-87,
L-25,8.062257748,3,0,0,0,0,-73,
M-25,8.94427191,3,0,0,0,0,-77,
N-25,9.848857802,2,0,0,0,0,-74,
O-25,10.77032961,2,0,0,0,0,-75,
P-25,11.70469991,2,0,0,0,0,-81,
A-26,5,,,,0,0,NP,
B-26,4.242640687,,,,0,0,NP,
C-26,3.605551275,,,,0,0,NP,
D-26,3.16227766,,,,0,0,NP,
E-26,3,,,,0,0,NP,
F-26,3.16227766,1,0,0,0,0,-64,
G-26,3.605551275,1,0,0,0,0,-58,
H-26,4.242640687,1,0,0,0,0,-58,
I-26,5,,,,0,0,NP,
J-26,5.830951895,,,,0,0,NP,
K-26,6.708203932,3,0,0,0,0,-75,
L-26,7.615773106,3,0,0,0,0,-82,
M-26,8.544003745,,,,0,0,NP,
N-26,9.486832981,,,,0,0,NP,
O-26,10.44030651,2,1,0,0,0,-85,
P-26,11.40175425,2,1,0,0,0,-82,
A-27,4.472135955,0,0,0,0,0,-57,
B-27,3.605551275,0,0,0,0,0,-53,
C-27,2.828427125,0,0,0,0,0,-58,
D-27,2.236067977,0,0,0,0,0,-50,
E-27,2,0,0,0,0,0,-47,
F-27,2.236067977,1,0,0,0,0,-66,
G-27,2.828427125,1,0,0,0,0,-67,
H-27,3.605551275,1,0,0,0,0,-60,
I-27,4.472135955,2,0,0,0,0,-65,
J-27,5.385164807,1,1,0,0,0,-62,
