Coord.,Distance,Num_brick_wall,Num_wood_wall,Num_glass_wall,Num_drywall,Num_column,P_rx (dBm),Comments
R-9,10.9244,0,0,1,0,0,-67,
S-9,11.6562,0,0,0,3,1,-71,
T-9,12.4925,0,0,1,2,0,-71,
U-9,13.4138,0,0,1,2,0,-70,
V-9,14.4038,0,1,1,1,0,-71,
W-9,15.4494,,,,,,NP,
X-9,16.5399,,,,,,NP,
Y-9,17.667,,,,,,NP,
A-10,19.4006,0,0,0,1,0,-74,
B-10,18.1792,0,0,0,1,0,-83,
C-10,16.9781,,,,,,NP,
D-10,15.8019,,,,,,NP,
E-10,14.6566,,,,,,NP,
F-10,13.55,,,,,,NP,
G-10,12.4925,0,0,0,1,1,-77,
H-10,11.4976,0,0,0,1,0,-69,
I-10,10.5829,0,0,0,1,0,-66,
J-10,9.771,0,0,0,1,0,-66,
K-10,9.0896,0,0,0,1,0,-61,
L-10,8.5698,0,0,0,1,0,-61,
M-10,8.2421,0,0,0,1,0,-62,
N-10,8.13,0,0,1,0,1,-61,
O-10,8.2421,0,0,1,0,1,-63,
P-10,8.5698,0,0,1,0,0,-62,
Q-10,9.0896,0,0,1,0,0,-63,
R-10,9.771,,,,,,NP,
S-10,10.5829,,,,,,NP,
T-10,11.4976,0,0,0,2,0,-68,
U-10,12.4925,0,0,0,1,0,-61,
V-10,13.55,0,0,0,2,0,-70,
W-10,14.6566,,,,,,NP,
X-10,15.8019,,,,,,NP,
Y-10,16.9781,,,,,,NP,
A-11,18.873,0,0,0,1,0,-74,
B-11,17.615,0,0,0,1,0,-71,
C-11,16.3725,0,0,0,1,0,-82,
D-11,15.1494,,,,,,NP,
E-11,13.9506,,,,,,NP,
F-11,12.783,,,,,,NP,
G-11,11.6562,0,0,0,1,1,-68,
H-11,10.5829,0,0,0,1,1,-64,
I-11,9.5813,0,0,0,1,0,-65,
J-11,8.6762,0,0,0,1,0,-60,
K-11,7.9009,0,0,0,1,0,-60,
L-11,7.2969,0,0,0,1,0,-62,
M-11,6.9092,0,0,1,0,0,-58,
N-11,6.775,0,0,1,0,1,-64,
O-11,6.9092,0,0,1,0,1,-64,
P-11,7.2969,0,0,1,0,0,-70,
Q-11,7.9009,0,0,0,1,0,-62,
R-11,8.6762,0,0,0,1,0,-65,
S-11,9.5813,,,,,,NP,
T-11,10.5829,0,0,0,1,0,-68,
U-11,11.6562,0,0,0,1,1,-69,
V-11,12.783,0,0,0,1,1,-64,
W-11,13.9506,0,0,0,3,0,-63,
X-11,15.1494,,,,,,NP,
Y-11,16.3725,,,,,,NP,
A-12,18.43,0,0,0,1,0,-73,
B-12,17.1395,0,0,0,1,0,-88,
C-12,15.8599,0,0,0,1,0,-89,
D-12,14.5938,,,,,,NP,
E-12,13.3452,,,,,,NP,
F-12,12.1195,,,,,,NP,
G-12,10.9244,0,0,0,1,1,-64,
