PL_fs,PL_Log_Dist1,PL_Log_Dist2,PL_Log_Dist11,Distancia
44.6585221569868,92.1403111126598,56.2213600777658,84.5252095596041,5.830951895
46.3334330298593,97.8625692621644,62.2044838255931,89.4078002783663,7.071067812
44.3952327687769,93.2548144112887,63.4944944295519,85.2441860593976,5.656854249
43.3231330730542,91.1946718941735,58.9911456231541,84.1443690145192,5
43.3231330730542,92.1139350294425,57.0880362134062,88.0827220816586,5
45.471571552944,91.8313533842654,63.735450347114,87.3926650034579,6.403124237
48.3746328562541,102.37330915118,69.8504981218484,95.6422024771334,8.94427191
49.2114503291761,99.9692420257581,68.3330413599085,96.6856405278075,9.848857802
45.8758581234407,97.1254734725756,61.0414955371643,86.3127369912185,6.708203932
50.483166508647,108.919787775844,71.8068972497304,95.086087863068,11.40175425
40.4831665082844,87.3258435797941,50.2235164656435,78.3137347634883,3.605551275
