PL,P_ladrillo,P_madera,P_vidrio,P_Tablaroca,Columna,Distancia,h_Rx,h_Tx
88,2,0,0,0,0,8.062257748,1.5,1.5
78,1,1,0,0,0,8.602325267,1.5,1.5
91,1,1,0,0,0,9.219544457,1.5,1.5
79,2,0,0,0,0,9.899494937,1.5,1.5
98,2,0,0,0,0,10.63014581,1.5,1.5
87,2,0,0,0,0,11.40175425,1.5,1.5
90,3,0,0,0,0,12.20655562,1.5,1.5
73,1,0,0,0,0,7.211102551,1.5,1.5
68,1,0,0,0,0,6.708203932,1.5,1.5
80,1,0,0,0,0,6.32455532,1.5,1.5
74,1,0,0,0,0,6.08276253,1.5,1.5
77,1,0,0,0,0,6,1.5,1.5
79,2,0,0,0,0,6.08276253,1.5,1.5
68,1,0,0,0,0,6.32455532,1.5,1.5
78,1,0,0,0,0,6.708203932,1.5,1.5
82,1,1,0,0,0,7.211102551,1.5,1.5
94,1,1,0,0,0,7.810249676,1.5,1.5
90,2,0,0,0,0,8.485281374,1.5,1.5
85,2,0,0,0,0,9.219544457,1.5,1.5
98,2,0,0,0,0,10,1.5,1.5
89,3,0,0,0,0,10.81665383,1.5,1.5
96,3,0,0,0,0,11.66190379,1.5,1.5
91,3,0,0,0,0,12.52996409,1.5,1.5
87,1,0,0,0,0,6.403124237,1.5,1.5
80,1,0,0,0,0,5.830951895,1.5,1.5
72,1,0,0,0,0,5.385164807,1.5,1.5
84,1,0,0,0,0,5.099019514,1.5,1.5
67,1,0,0,0,0,5,1.5,1.5
78,2,0,0,0,0,5.099019514,1.5,1.5
76,1,0,0,0,0,5.385164807,1.5,1.5
71,1,0,0,0,0,5.830951895,1.5,1.5
80,1,1,0,0,0,6.403124237,1.5,1.5
77,2,0,0,0,0,7.071067812,1.5,1.5
88,2,0,0,0,0,7.810249676,1.5,1.5
90,2,0,0,0,0,8.602325267,1.5,1.5
98,3,0,0,0,0,9.433981132,1.5,1.5
90,3,0,0,0,0,10.29563014,1.5,1.5
90,3,0,0,0,0,11.18033989,1.5,1.5
